iter	Passed	Remaining
180	502	2274
181	504	2268
182	511	2282
183	516	2289
184	517	2281
185	521	2280
186	528	2297
187	531	2296
188	542	2329
189	544	2321
190	546	2313
191	547	2305
192	549	2297
193	551	2291
194	555	2291
195	557	2285
196	564	2301
197	567	2296
198	605	2435
199	607	2428
200	612	2434
201	614	2425
202	615	2417
203	618	2412
204	619	2403
205	621	2394
206	622	2385
207	629	2396
208	630	2387
209	632	2378
210	634	2371
211	635	2363
212	637	2355
213	652	2394
214	653	2386
215	659	2394
216	661	2385
217	662	2377
218	664	2368
219	665	2360
220	667	2352
221	668	2343
222	670	2335
223	674	2338
224	676	2329
225	677	2321
226	679	2313
227	680	2305
228	682	2297
229	684	2290
230	685	2282
231	694	2300
232	697	2297
233	700	2293
234	709	2308
235	710	2300
236	712	2293
237	726	2325
238	728	2318
239	730	2313
240	733	2310
241	735	2303
242	736	2295
243	738	2288
244	740	2283
245	742	2276
246	754	2299
247	755	2292
248	757	2285
249	759	2278
250	764	2281
251	766	2274
252	768	2267
253	769	2261
254	771	2254
255	773	2247
256	774	2239
257	777	2236
258	778	2228
259	780	2221
260	782	2214
261	783	2207
262	785	2200
263	793	2210
264	794	2203
265	795	2196
266	797	2189
267	798	2182
268	800	2174
269	806	2180
270	808	2175
271	810	2169
272	813	2166
273	821	2177
274	823	2171
275	825	2165
276	827	2158
277	829	2153
278	831	2147
279	840	2160
280	841	2154
281	843	2147
282	846	2144
283	851	2147
284	854	2143
285	856	2137
286	857	2131
287	860	2126
288	861	2120
289	863	2113
290	865	2107
291	866	2101
292	868	2096
293	870	2089
294	871	2082
295	872	2075
296	873	2068
297	879	2071
298	880	2065
299	882	2058
300	884	2054
301	885	2047
302	887	2040
303	888	2033
304	896	2043
305	898	2038
306	900	2032
307	901	2026
308	904	2022
309	911	2029
310	913	2023
311	914	2017
312	916	2012
313	918	2005
314	919	1999
315	920	1993
316	924	1991
317	926	1986
318	927	1980
319	929	1975
320	931	1970
321	933	1965
322	934	1959
323	939	1960
324	941	1954
325	942	1949
326	944	1943
327	946	1939
328	948	1933
329	949	1927
330	953	1927
331	955	1923
332	957	1918
333	959	1913
334	960	1907
335	962	1901
336	963	1895
337	964	1889
338	970	1892
339	972	1887
340	975	1884
341	977	1879
342	978	1873
343	979	1867
344	980	1861
345	986	1864
346	988	1859
347	989	1854
348	991	1849
349	993	1844
350	994	1838
351	995	1832
352	1000	1834
353	1002	1829
354	1004	1824
355	1006	1820
356	1007	1815
357	1009	1810
358	1011	1805
359	1023	1818
360	1024	1814
361	1026	1809
362	1028	1804
363	1034	1806
364	1035	1802
365	1037	1797
366	1039	1792
367	1041	1788
368	1042	1783
369	1044	1778
370	1048	1777
371	1049	1772
372	1051	1767
373	1053	1762
374	1054	1757
375	1055	1752
376	1057	1747
377	1064	1750
378	1065	1745
379	1066	1740
380	1068	1736
381	1070	1731
382	1072	1727
383	1076	1727
384	1078	1722
385	1079	1717
386	1081	1712
387	1082	1707
388	1084	1703
389	1090	1705
390	1092	1701
391	1093	1696
392	1095	1691
393	1097	1687
394	1098	1683
395	1100	1678
396	1113	1690
397	1115	1687
398	1118	1684
399	1121	1681
400	1122	1677
401	1124	1672
402	1126	1668
403	1127	1663
404	1129	1658
405	1130	1654
406	1135	1653
407	1137	1649
408	1138	1645
409	1140	1641
410	1142	1636
411	1143	1631
412	1144	1627
413	1146	1622
414	1150	1621
415	1151	1616
416	1152	1611
417	1154	1607
418	1155	1602
419	1156	1597
420	1157	1592
421	1159	1587
422	1160	1583
423	1164	1581
424	1165	1577
425	1167	1572
426	1168	1567
427	1169	1563
428	1171	1558
429	1172	1553
430	1173	1549
431	1175	1545
432	1176	1540
433	1180	1539
434	1181	1534
435	1183	1531
436	1185	1527
437	1187	1523
438	1188	1519
439	1190	1515
440	1195	1515
441	1197	1511
442	1198	1507
443	1199	1502
444	1201	1498
445	1202	1493
446	1203	1489
447	1205	1484
448	1206	1480
449	1209	1478
450	1210	1473
451	1212	1469
452	1213	1464
453	1214	1460
454	1215	1456
455	1217	1451
456	1218	1447
457	1219	1443
458	1221	1439
459	1224	1437
460	1226	1433
461	1227	1429
462	1229	1425
463	1230	1421
464	1231	1417
465	1233	1413
466	1234	1409
467	1236	1405
468	1237	1400
469	1241	1399
470	1242	1395
471	1243	1391
472	1245	1387
473	1246	1383
474	1247	1378
475	1248	1374
476	1250	1370
477	1251	1366
478	1255	1365
479	1257	1361
480	1258	1358
481	1260	1354
482	1261	1350
483	1263	1346
484	1264	1342
485	1265	1338
486	1267	1334
487	1272	1334
488	1273	1330
489	1275	1327
490	1276	1323
491	1278	1319
492	1279	1315
493	1280	1311
494	1281	1307
495	1285	1306
496	1286	1302
497	1288	1298
498	1289	1295
499	1291	1291
500	1292	1287
501	1293	1283
502	1294	1279
503	1295	1275
504	1297	1271
505	1298	1267
506	1299	1263
507	1301	1260
508	1302	1256
509	1304	1253
510	1306	1250
511	1308	1246
512	1309	1243
513	1311	1240
514	1313	1237
515	1315	1233
516	1316	1230
517	1319	1227
518	1321	1224
519	1323	1221
520	1324	1217
521	1330	1217
522	1331	1214
523	1333	1210
524	1336	1208
525	1338	1206
526	1340	1203
527	1342	1199
528	1344	1196
529	1345	1193
530	1347	1190
531	1349	1186
532	1350	1183
533	1352	1180
534	1354	1176
535	1356	1174
536	1358	1170
537	1359	1167
538	1360	1164
539	1362	1160
540	1363	1157
541	1365	1153
542	1367	1150
543	1370	1149
544	1372	1145
545	1373	1142
546	1375	1139
547	1376	1135
548	1378	1132
549	1379	1128
550	1381	1125
551	1383	1122
552	1385	1120
553	1387	1117
554	1389	1114
555	1391	1110
556	1392	1107
557	1394	1104
558	1395	1100
559	1397	1097
560	1402	1097
561	1403	1094
562	1405	1090
563	1406	1087
564	1408	1084
565	1409	1081
566	1411	1077
567	1415	1076
568	1417	1073
569	1418	1070
570	1419	1066
571	1421	1063
572	1422	1060
573	1423	1056
574	1425	1053
575	1427	1050
576	1430	1048
577	1432	1046
578	1434	1043
579	1436	1040
580	1439	1037
581	1441	1035
582	1443	1032
583	1448	1031
584	1450	1028
585	1451	1025
586	1453	1022
587	1454	1019
588	1456	1016
589	1459	1013
590	1463	1012
591	1465	1009
592	1467	1006
593	1468	1003
594	1470	1000
595	1472	997
596	1476	996
597	1477	993
598	1479	990
599	1481	987
600	1482	984
601	1484	981
602	1486	978
603	1488	975
604	1490	973
605	1492	970
606	1494	967
607	1495	964
608	1497	961
609	1499	958
610	1500	955
611	1505	954
612	1507	951
613	1509	948
614	1511	945
615	1512	942
616	1514	939
617	1515	936
618	1519	935
619	1521	932
620	1523	929
621	1526	927
622	1528	924
623	1530	921
624	1531	918
625	1538	919
626	1540	916
627	1541	913
628	1543	910
629	1544	907
630	1546	904
631	1551	903
632	1553	900
633	1554	897
634	1556	894
635	1558	891
636	1560	889
637	1561	886
638	1565	884
639	1566	881
640	1568	878
641	1570	875
642	1571	872
643	1573	869
644	1574	866
645	1576	863
646	1578	861
647	1581	859
648	1583	856
649	1585	853
650	1586	850
651	1588	847
652	1590	845
653	1591	842
654	1597	841
655	1599	838
656	1600	835
657	1602	832
658	1603	829
659	1605	827
660	1607	824
661	1612	823
662	1613	820
663	1616	817
664	1618	815
665	1620	812
666	1622	809
667	1627	808
668	1629	806
669	1631	803
670	1632	800
671	1634	797
672	1637	795
673	1641	794
674	1643	791
675	1645	788
676	1647	786
677	1651	784
678	1654	782
679	1658	780
680	1660	777
681	1662	775
682	1663	772
683	1665	769
684	1668	767
685	1673	765
686	1676	763
687	1677	760
688	1679	758
689	1681	755
690	1683	752
691	1685	750
692	1687	747
693	1689	744
694	1691	742
695	1693	739
696	1695	736
697	1697	734
698	1701	732
699	1703	730
700	1705	727
701	1706	724
702	1708	721
703	1710	719
704	1712	716
705	1715	714
706	1719	712
707	1721	709
708	1723	707
709	1725	704
710	1727	702
711	1728	699
712	1733	697
713	1735	695
714	1737	692
715	1740	690
716	1742	687
717	1743	684
718	1748	683
719	1750	680
720	1752	678
721	1754	675
722	1756	672
723	1757	670
724	1759	667
725	1765	666
726	1767	663
727	1769	661
728	1771	658
729	1772	655
730	1773	652
731	1775	650
732	1777	647
733	1778	644
734	1780	641
735	1781	639
736	1783	636
737	1784	633
738	1785	630
739	1787	628
740	1791	626
741	1792	623
742	1794	620
743	1796	618
744	1798	615
745	1800	612
746	1801	610
747	1807	609
748	1810	606
749	1812	604
750	1814	601
751	1815	598
752	1817	596
753	1823	594
754	1825	592
755	1826	589
756	1828	586
757	1829	584
758	1832	581
759	1833	579
760	1837	576
761	1838	574
762	1839	571
763	1841	568
764	1842	566
765	1844	563
766	1845	560
767	1847	557
768	1848	555
769	1853	553
770	1854	550
771	1856	548
772	1857	545
773	1859	542
774	1861	540
775	1862	537
776	1864	535
777	1865	532
778	1867	529
779	1869	527
780	1870	524
781	1872	522
782	1875	519
783	1876	517
784	1881	515
785	1882	512
786	1883	509
787	1885	507
788	1886	504
789	1888	501
790	1890	499
791	1892	496
792	1897	495
793	1898	492
794	1900	490
795	1902	487
796	1903	484
797	1905	482
798	1906	479
799	1910	477
800	1911	474
801	1913	472
802	1914	469
803	1915	467
804	1917	464
805	1918	461
806	1919	459
807	1921	456
808	1922	453
809	1925	451
810	1926	449
811	1928	446
812	1929	443
813	1931	441
814	1932	438
815	1934	436
816	1936	433
817	1940	431
818	1943	429
819	1945	427
820	1947	424
821	1949	422
822	1950	419
823	1952	417
824	1957	415
825	1959	412
826	1960	410
827	1962	407
828	1964	405
829	1966	402
830	1968	400
831	1972	398
832	1973	395
833	1978	393
834	1980	391
835	1981	388
836	1983	386
837	1987	384
838	1989	381
839	1991	379
840	1992	376
841	1994	374
842	1995	371
843	1997	369
844	1999	366
845	2003	364
846	2004	362
847	2006	359
848	2007	357
849	2009	354
850	2011	352
851	2012	349
852	2014	347
853	2018	345
854	2020	342
855	2021	340
856	2023	337
857	2025	335
858	2026	332
859	2028	330
860	2029	327
861	2035	325
862	2037	323
863	2039	321
864	2041	318
865	2042	316
866	2044	313
867	2046	311
868	2049	309
869	2051	306
870	2053	304
871	2054	301
872	2056	299
873	2057	296
874	2059	294
875	2060	291
876	2064	289
877	2065	287
878	2067	284
879	2069	282
880	2070	279
881	2071	277
882	2072	274
883	2074	272
884	2075	269
885	2076	267
886	2080	264
887	2081	262
888	2083	260
889	2084	257
890	2086	255
891	2099	254
892	2101	251
893	2103	249
894	2104	246
895	2106	244
896	2107	242
897	2111	239
898	2113	237
899	2115	235
900	2118	232
901	2119	230
902	2121	227
903	2123	225
904	2127	223
905	2129	220
906	2131	218
907	2133	216
908	2135	213
909	2136	211
910	2138	208
911	2139	206
912	2141	204
913	2143	201
914	2145	199
915	2146	196
916	2148	194
917	2150	192
918	2152	189
919	2156	187
920	2159	185
921	2160	182
922	2161	180
923	2162	177
924	2164	175
925	2165	173
926	2166	170
927	2168	168
928	2173	166
929	2174	163
930	2176	161
931	2177	158
932	2178	156
933	2180	154
934	2181	151
935	2183	149
936	2186	146
937	2187	144
938	2188	142
939	2190	139
940	2191	137
941	2192	134
942	2193	132
943	2194	130
944	2195	127
945	2197	125
946	2198	123
947	2202	120
948	2203	118
949	2204	116
950	2205	113
951	2207	111
952	2208	108
953	2210	106
954	2211	104
955	2212	101
956	2214	99
957	2216	97
958	2218	94
959	2219	92
960	2220	90
961	2221	87
962	2223	85
963	2224	83
964	2227	80
965	2230	78
966	2232	76
967	2233	73
968	2235	71
969	2236	69
970	2237	66
971	2239	64
972	2240	62
973	2241	59
974	2243	57
975	2245	55
976	2246	52
977	2249	50
978	2251	48
979	2254	46
980	2256	43
981	2261	41
982	2263	39
983	2265	36
984	2266	34
985	2268	32
986	2271	29
987	2276	27
988	2279	25
989	2285	23
990	2287	20
991	2291	18
992	2293	16
993	2295	13
994	2297	11
995	2299	9
996	2300	6
997	2302	4
998	2307	2
999	2309	0
